Country;average_low_carbon_RD_spending;disproportionality ;green_cabinet;political_constraints;EU
AUS;1.43;10.07;0.00;0.51;0.00
AUT;1.33;2.02;0.00;0.49;1.00
BEL;2.28;3.75;0.00;0.71;1.00
CAN;2.71;13.14;0.00;0.45;0.00
DEU;1.66;2.55;0.00;0.53;1.00
DNK;2.48;1.6;78.976;0.54;1.00
ESP;1.19;6.53;42.03167;0.47;1.00
FIN;4.52;3.34;167.015625;0.44;1.00
FRA;3.71;19.56;0.00;0.38;1.00
GBR;2.28;16.0;118.325,00;0.46;1.00
GRC;0.86;6.64;37.159625;0.47;1.00
IRL;1.33;4.17;0.00;0.56;0.00
ITA;2.28;4.82;0.00;0.64;1.00
JPN;5.95;10.5;0.00;0.42;0.00
NLD;4.0;1.08;0.00;0.52;0.00
NOR;2.19;3.79;0.00;0.39;1.00
NZL;1.09;9.11;0.00;0.46;1.00
PRT;1.0;4.85;0.00;0.5;1.00
SWE;2.71;1.95;0.00;0.37;1.00
USA;2.43;13. 35;0.00;0.4;0.00